library_id,library_name,pattern,interaction_category,coder1_support,coder2_support
3,ggplot2,Connected Ring,Focus+Context,NA,NA
3,ggplot2,Connected Ring,Multiple Views,NA,NA
3,ggplot2,Connected Ring,Interaction with Dimensions,NA,NA
3,ggplot2,Connected Ring,Domain-Specific Methods,NA,NA
3,ggplot2,Disconnected Ring,Focus+Context,NA,NA
3,ggplot2,Disconnected Ring,Multiple Views,NA,NA
3,ggplot2,Disconnected Ring,Interaction with Dimensions,NA,NA
3,ggplot2,Disconnected Ring,Domain-Specific Methods,NA,NA
4,Observable Plot,Tree,Focus+Context,Partial,Partial
4,Observable Plot,Tree,Multiple Views,Partial,Partial
4,Observable Plot,Tree,Interaction with Dimensions,Partial,NA
4,Observable Plot,Tree,Domain-Specific Methods,NA,NA
4,Observable Plot,Star,Focus+Context,Partial,Partial
4,Observable Plot,Star,Multiple Views,Partial,Partial
4,Observable Plot,Star,Interaction with Dimensions,NA,Partial
4,Observable Plot,Star,Domain-Specific Methods,NA,NA
4,Observable Plot,Concentric,Focus+Context,Partial,Partial
4,Observable Plot,Concentric,Multiple Views,Partial,Partial
4,Observable Plot,Concentric,Interaction with Dimensions,Partial,Partial
4,Observable Plot,Concentric,Domain-Specific Methods,NA,NA
4,Observable Plot,Spiral,Focus+Context,Partial,Partial
4,Observable Plot,Spiral,Multiple Views,NA,Partial
4,Observable Plot,Spiral,Interaction with Dimensions,NA,NA
4,Observable Plot,Spiral,Domain-Specific Methods,NA,NA
4,Observable Plot,Euler,Focus+Context,NA,NA
4,Observable Plot,Euler,Multiple Views,NA,NA
4,Observable Plot,Euler,Interaction with Dimensions,NA,NA
4,Observable Plot,Euler,Domain-Specific Methods,NA,NA
4,Observable Plot,Connected Ring,Focus+Context,Partial,Partial
4,Observable Plot,Connected Ring,Multiple Views,Partial,Partial
4,Observable Plot,Connected Ring,Interaction with Dimensions,NA,NA
4,Observable Plot,Connected Ring,Domain-Specific Methods,NA,NA
4,Observable Plot,Disconnected Ring,Focus+Context,Partial,Partial
4,Observable Plot,Disconnected Ring,Multiple Views,Partial,Partial
4,Observable Plot,Disconnected Ring,Interaction with Dimensions,NA,NA
4,Observable Plot,Disconnected Ring,Domain-Specific Methods,NA,NA
5,Apache ECharts,Tree,Focus+Context,Full,Full
5,Apache ECharts,Tree,Multiple Views,Full,Partial
5,Apache ECharts,Tree,Interaction with Dimensions,Full,Full
5,Apache ECharts,Tree,Domain-Specific Methods,NA,NA
5,Apache ECharts,Star,Focus+Context,Partial,Partial
5,Apache ECharts,Star,Multiple Views,Partial,Partial
5,Apache ECharts,Star,Interaction with Dimensions,Partial,Partial
5,Apache ECharts,Star,Domain-Specific Methods,NA,NA
5,Apache ECharts,Concentric,Focus+Context,Full,Partial
5,Apache ECharts,Concentric,Multiple Views,Partial,Partial
5,Apache ECharts,Concentric,Interaction with Dimensions,Full,Full
5,Apache ECharts,Concentric,Domain-Specific Methods,NA,NA
5,Apache ECharts,Spiral,Focus+Context,NA,NA
5,Apache ECharts,Spiral,Multiple Views,NA,NA
5,Apache ECharts,Spiral,Interaction with Dimensions,NA,NA
5,Apache ECharts,Spiral,Domain-Specific Methods,NA,NA
5,Apache ECharts,Euler,Focus+Context,NA,NA
5,Apache ECharts,Euler,Multiple Views,NA,NA
5,Apache ECharts,Euler,Interaction with Dimensions,NA,NA
5,Apache ECharts,Euler,Domain-Specific Methods,NA,NA
